,targetNumber,targetText
2921,2921,"In terms of the challenges, increasing agriculture and livestock productivity is constrained by human wildlife conflict, farm labour shortages, lack of adequate irrigation facilities, and lack of storage and marketing facilities."
2922,2922,High levels of illiteracy resulting in low quality of employment and high poverty rates is a major concern.
2923,2923,"341 Eleventh Five Year Plan - Main Document Volume I 6.2.13.3 Strategies In keeping with the Plan objective of Self-reliance and Inclusive Green Socio- economic Development, the key strategies the Dzongkhag will focus on, are i) targeted poverty intervention programme ii) improving education outcomes and iii) industrial development."
2924,2924,Samtse has the fourth highest levels of poverty in the country.
2925,2925,"Therefore, one key strategy will be the implementation of the targeted poverty reduction programme."
2926,2926,"Under the programme, five villages namely Khempa, Gibjee, Kamai Banzang, Majuwa and Cibichang will be supported under REAP Phase II."
2927,2927,"Income generating sustainable livelihood activities, capacity development and establishment of self- help groups/cooperatives will be some of the interventions at village level and additional support at household levels will be provided to the poorest households within the village."
2928,2928,The funds for this programme will be directly provided from the centre.
2929,2929,The Poverty Analysis Report 2012 indicates a direct correlation between poverty levels and education.
2930,2930,People with low literacy rate were poorer and there was a significant reduction in poverty rate if the household head attended secondary levels of education both in urban and rural Bhutan.
2931,2931,The low level of literacy is one of the main factors for high poverty rates in the Dzongkhag.
2932,2932,"Therefore, improving education outcome will be a priority."
2933,2933,"The Dzongkhag will work closely with the Ministry of Education to ensure adequate infrastructure facilities, teachers and teaching materials are made available and where relevant consolidation of schools to improve quality and efficiency of education will be explored."
2934,2934,"The close proximity to the Indian market, availability of mineral reserve base, wide variety of agricultural products, and the completion of Samtse-Phuentsholing highway and the Dhamdum Industrial Estate in the Eleventh Plan offer opportunities for Samtse to develop as medium and large scale industrial hub."
2935,2935,The Dzongkhag in close consultation with the relevant central agencies will work towards creating an enabling environment in the Dzongkhag for establishment of medium and large scale industries.
2936,2936,"The industries could be mineral based, agro-based or wood/cane based."
2937,2937,"The Dzongkhag will also put in place appropriate strategies to tackle human wildlife conflict, address farm labour shortages, and strengthen storage, distribution and marketing facilities, particularly for agricultural products, drinking water shortages etc."
2938,2938,C as h cr op p ro du cti on i. M an da rin (M T) ii .
2939,2939,C ar da m om (M T) ii i.
2940,2940,A re ca nu t ( M T) iv .
2941,2941,"C er ea l c ro p pr od uc tio n i. ric e (M T) 8 86 7 (2 01 1) , >9 00 0] i i. m ai ze (M T) i ii."
2942,2942,Li ve st oc k pr od uc tio n i.
2943,2943,[M ilk (M T/ Yr ) ii.
2944,2944,[B utt er (M T/ Yr ) iii .
2945,2945,[2 59 5 (2 01 0) ii .
2946,2946,5 51 (2 01 0) iii .
2947,2947,( M T) [3 12 9 (2 01 0) iv.
2948,2948,[ 24 58 (2 01 0) 4. i.
2949,2949,7 05 6( 20 11 ) ii i.
2950,2950,[1 99 .0 6 (2 01 1) ii.
2951,2951,7 .1 (2 01 1) iii .
2952,2952,> 50 00 i v. >5 00 0 4i .
2953,2953,P ro po rti on o f p op ul ati on th at ha ve v er y go od k no w le dg e & un de rs ta nd in g of i. l oc al fe sti va ls ii.
2954,2954,m as ke d & o th er d an ce s iii .
2955,2955,"7 2 (2 01 0) 4. i 7 (2 01 0) , ii."
2956,2956,> 8 0 4. i > 9 .7 ii.
2957,2957,6 .0 4 (2 01 0) 2 .
2958,2958,De ve lo pm en t o f In fr as tr uc tu re /f ac ili tie s (in cl ud in g 2 Du ng kh ag s) 345 Eleventh Five Year Plan - Main Document Volume I 6.2.14 Tsirang Dzongkhag Tsirang Dzongkhag is located in the south-central part of the country with elevations ranging from 400 to 2000 m above sea level.
2959,2959,"It shares its border with Wangdue Phodrang Dzongkhag to the north, Sarpang to the east and southeast and Dagana to the west and southeast."
2960,2960,"There are twelve Gewogs namely Barshong, Mendrelgang, Tsholingkhar, Tsirangtoe, Dunglagang, Kilkhorthang, Sergithang, Rangthangling, Gosaling, Semjong, Phuentenchu and Patsaling."
2961,2961,6.2.14.1 Current Situation Table 6.15.1 Key Indicators Population (BLSS 2012) 18947 Mean annual household income Nu.
2962,2962,"(BLSS 2012) 118,101 (164,829) Number of Dungkhag nil Poverty incidence % (PAR 2012) 14.8 (12) Number of Gewogs 12 Multidimensional Poverty (BMIS 2010) % 34.8 (25.8) Number of Households (BLSS 2012) 4120 (127,942) GNH Index (GNH 2010) 0.770 (0.743) Area (sq.kms) (RNR Statistics 2012) 639 Unemployment rate (LFS 2012) % 3.4 (2.1) Forest cover (%)(RNR Statistics 2012) 87.34 General literacy rate (BLSS 2012) 59.6 (63) Crude Death Rate (number of deaths in a year per 1,000 population) (BLSS 2012) 4.0 (8.5) Adjusted Net Primary Attendance Rate (AES 2012) % 92.5 (91.9) Crude Birth Rate ((number of live births in a year per 1,000 population) (BLSS 2012) 18.5 (18.5) Mean healthy days in a month (GNH Index 2010) 0 day worst and 30 days best 26 (26) (Figures in the bracket represent National average/total.)"
2963,2963,"The Dzongkhag also reports a lower general literacy rate, mean annual household income and higher unemployment rates compared to the national average."
2964,2964,Agriculture and livestock are two important source of livelihood.
2965,2965,"Paddy, maize and LO C A L G O VE R N M EN T PL A N S 06 346 Eleventh Five Year Plan - Main Document Volume I millet are the major cereal crops grown while orange, cardamom and vegetables are the principal cash crops."
2966,2966,Mandarin constitutes an important source of cash income for most of the farmers.
2967,2967,"Livestock rearing is also an important economic activity with poultry, piggery and fisheries contributing to income generation."
2968,2968,6.2.14.2 Key Opportunities/Challenges The favourable climatic conditions and diverse agro-ecological features present potential in enhancing agriculture production.
2969,2969,"Further, opportunities exist for tourism development."
2970,2970,"Tourism products such as bicycle trips, river rafting and kayaking on Sunkosh river, trekking routes (old route from Damphu to Gelephu in 3 days and Damphu to Wangdue in 7 days) and flower tours could be explored."
2971,2971,"Being strategically located along Wangdue-Sarpang national highway, opportunities in terms of development of hospitality and related services are also possible."
2972,2972,"Moreover, the completion of electricity transmission line between Basochhu and Tsirang and the commissioning of Dagachhu hydroelectricity project will enhance electricity supply reliability in the Dzongkhag providing opportunities for establishment of new industries, particularly cottage, small and medium industries."
2973,2973,"Amongst others, one major challenge is poverty reduction."
2974,2974,Tsirang is one of the Dzongkhag reporting higher incidences of poverty.
2975,2975,"Other challenges include water shortage, human wildlife conflict and urban problems of solid waste management, infrastructure etc."
2976,2976,"6.2.14.3 Strategies In keeping with the Plan objective of Self-reliance and Inclusive Green Socio- economic Development, the key strategies the Dzongkhag will focus on, are i) enhancing agriculture and livestock productivity, ii) tourism development targeted, and iii) poverty intervention programme."
2977,2977,"With agriculture and livestock products being a major source of livelihood for the people of Tsirang, the Dzongkhag will focus on enhancing agricultural and livestock production."
2978,2978,"The Dzongkhag will invest in improving infrastructure facilities such as farm roads and market sheds, addressing issues of water shortage both for drinking and irrigation purposes, farm labour shortage and human wildlife conflict."
2979,2979,347 Eleventh Five Year Plan - Main Document Volume I Establishment of cooperatives and farmers group in agriculture and livestock will be encouraged and facilitated.
2980,2980,"The Dzongkhag in collaboration with the Tourism Council of Bhutan, local communities and businesss will explore possibilities of developing new tourism development products such as bicycle, trekking routes, river rafting, nature tour, homestays/farmhouses for community based tourism etc to attract tourist to the Dzongkhag."
2981,2981,"In order to provide better health care services, a new hospital will be constructed in Tsirang during the Eleventh Plan."
2982,2982,"The Dzongkhag will also put in place appropriate strategies in cooperation with relevant central agencies to address drinking water shortages, urban infrastructure facilities and services and improving health and education outcomes."
2983,2983,"In addition to REAP II, the rehabilitation of around 25 poor and disadvantaged households from Serzhong village in Tsirang will be supported under National Rehabilitation Programme in the Eleventh Plan."
2984,2984,"With high levels of poverty in the Dzongkhag, the implementation of targeted poverty reduction programme will be a key strategy to accelerate poverty reduction."
2985,2985,"Under the programme, five villages namely Baithrakay, Pangthang, Toisang, Tathang and Balakhap will be supported through REAP Phase II."
2986,2986,"Income generating sustainable livelihood activities, capacity development and establishment of self- help groups/cooperatives will be some of the interventions at village level and additional support at household levels will be provided to the poorest households within the village."
2987,2987,The funds for this programme will be directly provided from the centre.
2988,2988,M ea n an nu al h ou se ho ld in co m e (in N u. )
2989,2989,C ap ac ity d ev el op m en t (t ra in in gs a nd a w ar en es s pr og ra m m es ) LO C A L G O VE R N M EN T PL A N S 06 350 Eleventh Five Year Plan - Main Document Volume I 3.2.15 Trashigang Dzongkhag Trashigang Dzongkhag is the largest and the most populous Dzongkhag in the country.
2990,2990,"It shares its borders with Mongar Dzongkhag in the west, Samdrup Jongkhar and Pemagatshel in the South, Trashi Yangtse in the north and the Indian state of Arunachal Pradesh in the east."
2991,2991,"It is situated at an elevation ranging from 600-4,500 meters above sea level."
2992,2992,The climate is mainly temperate with an annual rainfall between 1000 mm and 2000 mm.
2993,2993,"There are three Dungkhags (namely Sagteng, Wamrong and Thrimshing) and fifteen Gewogs namely Bartsham, Bidung, Kanglung, Kangpara, Khaling, Lumang, Merak, Phongmey, Radhi, Sakteng, Samkhar, Shongphu, Thrimshing, Udzorong and Yangneer."
2994,2994,"Dangmechhu, which is one of the largest river in the country flows through the Dzongkhag."
2995,2995,"3.2.15.1 Current Situation Table 6.16.1 Key Indicators Population (BLSS 2012) 43,682 Mean annual household income Nu."
2996,2996,"(BLSS 2012) 80, 657 (164,829) Number of Dungkhags 3 Poverty incidence % (PAR 2012) 11.5 (12) Number of Gewogs 15 Multidimensional Poverty (BMIS 2010) % 27.6 (25.8) Number of Households (BLSS 2012) 10,175 (127,942) GNH Index (GNH 2010) 0.708 (0.743) Area (sq.kms) (RNR Statistics 2012) 2204 Unemployment (LFS 2012) % 1.6 (2.1) Forest cover (%)(RNR Statistics 2012) 81.65 General literacy (BLSS 2012) 60.1 (63) Crude Death Rate (number of deaths in a year per 1,000 population) (BLSS 2012) 18 (8.5) Adjusted Net Primary Attendance Rate (AES 2012) % 92.1 (91.9) Crude Birth Rate ((number of live births in a year per 1,000 population) (BLSS 2012) 23.5 (18.5) Mean healthy days in a month (GNH Index 2010) 0 day worst and 30 days best 25 (26) (Figures in the bracket represent National average/total.)"
2997,2997,Agriculture and livestock rearing are the main source of livelihood.
2998,2998,"Maize, Soya beans and beans are the major crops grown in the Dzongkhag."
2999,2999,"Among the horticultural products, potato, radish, asparagus, cabbage and chillies have the potential to be cultivated on a commercial scale."
3000,3000,"The only domestic airport in the eastern part of the country is located at Yongphula, Trashigang."
3001,3001,The widening of Trashigang and Samdrup Jongkhar highway is ongoing 351 Eleventh Five Year Plan - Main Document Volume I LO C A L G O VE R N M EN T PL A N S 06 and once completed the travel time on this important highway will be reduced significantly.
3002,3002,"3.2.15.2 Key Opportunities/Challenges Trashigang has a number of cultural and religious attractions such as the Trashigang Dzong, Kanglung Zangdopelri, the typical architecture of Mithidrang town, Trashigang Tshechu and the unique pastoral communities of Merak and Sakten."
3003,3003,The Dzongkhag is also known for its traditional skills of weaving and dyeing.
3004,3004,The Dzongkhag is also a home to many natural reserves with rich and varied flora and fauna and endangered species.
3005,3005,"This provides opportunities for tourism development in the Dzongkhag by promoting weaving tours, wildlife tours, day hiking and camping tours."
3006,3006,"Further, with the improvement of the domestic airport in Yongphula during the Eleventh Plan access to the Dzongkhag will be easier."
3007,3007,"In terms of road connectivity, all fifteen Gewogs will be connected with farm and feeder roads once the ongoing Gewog connectivity road at Merak and Sakteng is completed."
3008,3008,This will provide better opportunities for the farmers to access markets for their agricultural and livestock products outside their Gewogs.
3009,3009,"While maize, paddy, soya bean and bean are the major crops in the Dzongkhag, maize is grown in all the 15 Gewogs of the Dzongkhag and in sizable quantities (9,974 metric tons RNR Statistic 2012)."
3010,3010,"Therefore, potential exists for establishing collection centers for maize and establishment of maize processing units."
3011,3011,"In addition, plans to develop Kanglung as one of the regional hubs in the east, renovation of Trashigang Dzong and the establishment of Centenary Institute of Education in Yongphula will boost opportunities for education, trade and commerce in the Dzongkhag."
3012,3012,Some of the challenges faced by the Dzongkhag include rural urban migration.
3013,3013,"The PHCB 2005 reports that Trashigang had the highest migration loss of 16,697 persons."
3014,3014,This has resulted in agricultural land being kept fallow due to farm labour shortages and land fragmentation leading to low agricultural productivity.
3015,3015,"Other challenges faced by the Dzongkhag include human wildlife conflict, water shortages both for drinking and irrigation purposes etc."
3016,3016,"352 Eleventh Five Year Plan - Main Document Volume I 3.2.15.3 Strategies In keeping with the Plan objective of Self-reliance and Inclusive Green Socio-economic Development, the key strategies the Dzongkhag will focus on, are i) development of Kanglung as a regional hub ii) enhancing agriculture and livestock productivity, iii) tourism development and iv) targeted poverty intervention programme."
3017,3017,The Dzongkhag faces the highest levels of rural urban migration with large number of people migrating out to other Dzongkhags.
3018,3018,"Therefore, in order to address the rural-urban migration and to create better economic opportunities for people living in the region the development of a regional hub in Kanglung will be explored during the Eleventh Plan."
3019,3019,A preliminary study indicates high potential if the issue of water supply can be addressed.
3020,3020,In particular the Dzongkhag will look into the possibilities of establishing Kanglung as an educational hub.
3021,3021,"With agriculture and livestock being the main source of livelihood, the Dzongkhag will focus on enhancing agriculture and livestock productivity by addressing the issues of storage and marketing facilities, human wildlife conflict, irrigation facilities, farm labour shortages and establishment of farmers groups/cooperatives."
3022,3022,The Dzongkhag will also explore possibilities of establishing small and medium industries which have potential for creating jobs and enhancing households.
3023,3023,"Small and medium industries based on agro-processing, tourism and hospitality services have potential."
3024,3024,"With the establishment of domestic air service at Yongphula, Trashigang has good prospects in terms of attracting larger numbers of visitors."
3025,3025,"Initiatives will be undertaken to develop tourism in the Dzongkhag with support and coordination with the Tourism Council of Bhutan, local communities and businesses."
3026,3026,The Dzongkhag will focus on developing new products that will increase the number of bed nights tourist spend in Trashigang so that the local economy and households benefit.
3027,3027,"New products such as trekking routes, nature tours like bird watching, and adventure tourism will be developed."
3028,3028,Merak-Sakten will be promoted as a unique and exotic destination.
3029,3029,"Under the targeted poverty reduction interventions, six villages namely Kheree, Banyalting, Khaimanma, Ngambinang, Khashateng and Kheliphu will be supported through REAP Phase II."
3030,3030,"Income generating sustainable livelihood activities, capacity development and establishment of self-help groups/cooperatives will be some of the interventions at village level and additional support at household levels will be provided to the poorest households within the village."
3031,3031,The funds for this programme will be directly provided from the centre.
3032,3032,C as h cr op p ro du cti on i. Ci tr us P ro du cti on (M T) ii.
3033,3033,P ro du cti on o f p ot at o( M T) iii .
3034,3034,P ro du cti on o f c hi lli (M T) iv.
3035,3035,C er ea l c ro p pr od uc tio n i. Pa dd y Pr od uc tio n ((M T) ii.
3036,3036,L iv es to ck p ro du cti on i. M ilk p ro du cti on (M T) ii.
3037,3037,F ish P ro du cti on (M T) iii .
3038,3038,E gg p ro du cti on (m ill io n ) iv.
3039,3039,11 .5 % (2 01 2) 3. i.6 23 (2 01 0) ii.
3040,3040,41 92 (2 01 0) iii .9 19 (2 01 0) iv.
3041,3041,30 3( 20 10 ) 4. i.2 41 0 (2 01 0) ii.
3042,3042,82 99 (2 01 0) iii .1 10 (2 01 0) iv.
3043,3043,29 96 (2 01 0) 6. na (2 01 0 7. i.1 .6 9( 20 10 ) ii.
3044,3044,>5 24 0 iii .> 11 48 iv.
3045,3045,>4 31 4. i.> 29 38 ii.
3046,3046,Pr op or tio n of p op ul ati on th at fe el h ig hl y re sp on sib le fo r c on se rv ati on o f t he n at ur al en vi ro nm en t 2. i.
3047,3047,Pr op or tio n of p op ul ati on th at h av e v er y st ro ng s en se o f be lo ng in g to th e co m m un ity 4. i. P ro po rti on o f p op ul ati on th at h av e v er y go od k no w le dg e & u nd er st an di ng o f lo ca l fe sti va ls ii.
3048,3048,of m as ke d & o th er d an ce s ii.
3049,3049,"It is located in the north eastern part of the country sharing border with Trashigang and Mongar in the south, Lhuentse in the west, the Indian State of Arunachal Pradesh in the east and the Tibet Autonomous Region of China in the north."
3050,3050,"There are eight Gewogs namely Bumdeling, Jamkhar, Khamdang, Ramjar, Toetsho, Tongmijangsa, Yalang and Yangtse."
3051,3051,"6.2.16.1 Current Situation Table 6.17.1 Key Indicators Population (BLSS 2012) 16,057 Mean annual household income Nu."
3052,3052,"(BLSS 2012) 83,744 (164,829) Number of Dungkhag nil Poverty incidence % (PAR 2012) 13.5 (12) Number of Gewogs 8 Multidimensional Poverty (BMIS 2010) % 30.9 (25.8) Number of Households (BLSS 2012) 3754 (127,942) GNH Index (GNH 2010) 0.698 (0.743) Area (sq.kms) (RNR Statistics 2012) 1449 Unemployment rate( LFS 2012) % 1.2 (2.1) Forest cover (%)(RNR Statistics 2012) 70.90 General literacy rate (BLSS 2012) 60.4 % (63) Crude Death Rate (number of deaths in a year per 1,000 population) (BLSS 2012) 8.9 (8.5) Adjusted Net Primary Attendance Rate (AES 2012) % 92.8 (91.9) Crude Birth Rate ((number of live births in a year per 1,000 population) (BLSS 2012) 11.5 (18.5) Mean healthy days in a month (GNH Index 2010) 0 day worst and 30 days best 24 (26) (Figures in the bracket represent National average/total.)"
3053,3053,Agriculture and livestock farming is the main source of livelihood for majority of the population.
3054,3054,"Rice, maize, millet, buckwheat and wheat are the major cereal crops grown."
3055,3055,"While orange, potatoes and chilly are the main cash crops of the Dzongkhag."
3056,3056,Trashiyangtse is known for the production of traditional handicraft like wooden bowl (Dapa) and Daphne paper (Desho).
3057,3057,Trashiyangtse is endowed with Cordyceps in the pastoral areas which fetches a very high price through exports.
3058,3058,"357 Eleventh Five Year Plan - Main Document Volume I Trashiyangtse is also known for its rich biological diversity with Bumdeling Wildlife Sanctuary being well known as the winter habitat and roosting place for Black- Necked Cranes, a highly endangered species of bird in the world."
3059,3059,The Bhutan Glory butterfly is also found here.
3060,3060,There are possibilities of discovering very rare species of flora and fauna in the conservation area of Bumdeling Wildlife Sanctuary.
3061,3061,6.2.16.2 Key Opportunities/Challenges The 600 MW Kholongchhu Hydropower Project which is under construction provides lot of opportunities for local economy growth.
3062,3062,"Once completed, the project will contribute towards enhancing electricity supply and reliability thereby creating opportunities for establishing small and medium industries in the Dzongkhag."
3063,3063,The significant increase in the number of project workers in the Dzongkhag during the construction period will help boost local trade and commerce and employment opportunities for the Bhutanese.
3064,3064,"The Dzongkhag has opportunities for developing small and cottage industries specializing in wooden, handmade paper and agricultural/medicinal plant products With the establishment of domestic airport in Yongphula, the accessibility to Trashiyangtse has been made easier."
3065,3065,"The numerous heritage sites and major festivals such as the annual Gomphu Kora and Chorten Kora festivals, Chazam (iron bridge), the black necked cranes and handicrafts tours could be attractive products for tourism development."
3066,3066,Some of the challenges include lack of proper tourist amenities such as hotels.
3067,3067,"In addition, depleting forest resources has posed a challenge to the people making Dapa (wooden bowl)."
3068,3068,The situation is further compounded by fewer youth willing to take up the trade which was traditionally passed on as a family trade usually from father to son.
3069,3069,"In terms of agriculture, the fragmented land-holdings, farm labour shortage, human wildlife conflict, lack of storage and marketing facilities pose constraint to enhancing agricultural productivity."
3070,3070,"6.2.16.3 Strategies In keeping with the Plan objective of Self-reliance and Inclusive Green Socio- economic Development, the key strategies the Dzongkhag will focus on are i) enhancing agriculture and livestock productivity, ii) tourism development and LO C A L G O VE R N M EN T PL A N S 06 358 Eleventh Five Year Plan - Main Document Volume I harnessing economic potential from the construction of the 600 MW Kholongchhu Hydropower Project, and iii) targeted poverty intervention programme."
3071,3071,"Trashiyangtse Dzongkhag will focus on enhancing agricultural and livestock productivity by investing in agriculture infrastructure, farm mechanization to address farm labour shortages, overcoming human wildlife conflict, and constructing irrigation, storage and marketing facilities."
3072,3072,Possibilities of establishing small food processing units will be explored.
3073,3073,"In addition, farmers will be encouraged to form groups to avail better market and rural credit and also to be in a position to supply large quantities of agricultural/livestock products to Kholongchhu hydropower project."
3074,3074,"To supplement farm income, the Dzongkhag will also focus on development of tourism facilities and services."
3075,3075,"The Dzongkhag will liaise closely with Tourism Council of Bhutan, local communities and businesses to develop Trashiyangste as an exotic tourist destination and facilitate development of new tourism products specific to the Dzongkhag such as trekking path, black neck crane festival, handicraft tours, water sports and religious and cultural tours which could also cater to domestic tourists."
3076,3076,"The Dzongkhag will also facilitate to develop tourist infrastructure facilities like guesthouses, home/farm stays, community lodges and camping trails."
3077,3077,The local entrepreneurs and communities will be provided necessary training on tourism and hospitality services.
3078,3078,"With reliable electricity supply available, the Dzongkhag will explore development of cottage and small industries to enhance household incomes and create jobs for the local communities."
3079,3079,"The Dzongkhag in close collaboration with the Agency for Promotion of Indigenous Crafts and the Department of Cottage and Small Industries will facilitate an enabling environment for development of cottage and small industries by addressing issues such as access to finance, markets, raw materials and product development."
3080,3080,"Under the targeted poverty reduction interventions, five villages namely Pangthang, Ngalimang, Dukti, Karmazom and Kuenzangling will be supported through REAP Phase II."
3081,3081,"Income generating sustainable livelihood activities, capacity development and establishment of self-help groups/cooperatives will be some of the interventions at village level and additional support at household levels will be provided to the poorest households within the village."
3082,3082,The funds for this programme will be directly provided from the centre.
3083,3083,M ea n an nu al h ou se ho ld in co m e (in N u. )
3084,3084,"C ap ac ity d ev el op m en t (t ra in in gs a nd a w ar en es s pr og ra m m es ) 361 Eleventh Five Year Plan - Main Document Volume I 6.2.17 Trongsa Dzongkhag Historically, Trongsa is one of the most important Dzongkhags."
3085,3085,"It is the seat of the Trongsa Penlop and, the formal investiture of the Crown Prince of Bhutan as the Trongsa Penlop is observed in this Tongsa Dzong."
3086,3086,"Trongsa Dzongkhag is located in the heart of the country with elevation ranging from 800 meters to 4,800 meters above sea level."
3087,3087,"It shares its boundaries with Bumthang Dzongkhag to the northeast, Wangdue Phodrang to the west and Zhemgang to the south."
3088,3088,"The Dzongkhag is home to the famous Jigme Singye Wangchuck National Park which covers an area of 1723 sq.km and is home to many globally endangered flora and fauna, including the Golden Languar."
3089,3089,"The Dzongkhag has five Gewogs namely Drakteng, Korphu, Nubi, Langthel and Tangsibji."
3090,3090,"6.2.17.1 Current Situation Table 6.18.1 Key Indicators Population (BLSS 2012) 13,361 Mean annual household income Nu."
3091,3091,"(BLSS 2012) 167,709 (164,829) Number of Dungkhags 0 Poverty incidence % (PAR 2012) 14.9 (12) Number of Gewogs 5 Multidimensional Poverty (BMIS 2010) % 32.7 (25.8) Number of Households (BLSS 2012) 2,810 (127,942) GNH Index (GNH 2010) 0.684 (0.743) Area (sq.kms) (RNR Statistics 2012) 1822 Unemployment (LFS 2012) % 3.2 (2.1) Forest cover (%)(RNR Statistics 2012) 87.16 General literacy (BLSS 2012) 65.7 % (63) Crude Death Rate (number of deaths in a year per 1,000 population) (BLSS 2012) 7.1 (8.5) Adjusted Net Primary Attendance Rate (AES 2012) % 94.5 (91.9) Crude Birth Rate ((number of live births in a year per 1,000 population) (BLSS 2012) 12.3 (18.5) Mean healthy days in a month (GNH Index 2010) 0 day worst and 30 days best 25 (26) (Figures in the bracket represent National average/total.)"
3092,3092,While the mean annual household income is slightly above the national average of Nu.
3093,3093,Trongsa Dzongkhag also has high rate of unemployment of 3.2 percent.
3094,3094,Agriculture is the main occupation and main source of income for the majority of the population.
3095,3095,"Farmers grow almost all kinds of crops, and in some areas, potatoes are the main source of cash income."
3096,3096,The 720 MW Mangdechhu Hydroelectric project is located on the left bank of Mangdechhu.
3097,3097,"6.2.17.2 Key Opportunities/Challenges Trongsa has suitable climatic conditions which is conducive for enhancing agricultural and horticultural products, besides livestock products such as poultry, piggery and dairy backyard farming."
3098,3098,"With the presence of numerous cultural and religious heritage structures and sites, and its location on the national highway, the number of tourists visiting Trongsa is increasing every year."
3099,3099,"Presently, there exists an eco-tourism trail which connects the sacred places like Nabji Lhakang, Kubra, Ugen Drak and Phumzur Lhakhang."
3100,3100,"A Royal Heritage Trail from Bumthang to Trongsa has been opened, further boosting the tourism growth in both the Dzongkhags."
3101,3101,The Dzongkhag however faces acute shortage of hospitality and other tourists facilities and services which are very important especially during the peak tourist seasons.
3102,3102,"Currently, there are only three resorts/guesthouses/hotels which meet the service standards for international tourists."
3103,3103,The Dzongkhag is also confronted with the problem of small and fragmented land holdings.
3104,3104,Many farmers do not own land and depend on sharecropping.
3105,3105,Hence any efforts towards cash crop and commercial farming are confronted with the problems associated with the pattern of land holdings.
3106,3106,"Other challenges faced by the farmers include farm labour shortage, human wildlife conflict, shortage of water, and lack of storage and marketing facilities."
3107,3107,"6.2.17.3 Strategies In keeping with the Plan objective of Self-reliance and Inclusive Green Socio- economic Development, the key strategies the Dzongkhag will focus on, are i) enhancing agriculture and livestock productivity, ii) tourism development, ii) facilitating establishment of cottage, small and medium enterprises, and iii) 363 Eleventh Five Year Plan - Main Document Volume I targeted poverty intervention programme."
3108,3108,"Agriculture and Livestock productivity - The challenges of small and fragmented land holdings will be addressed by providing high yielding seeds, establishment of farmer groups/ cooperatives, and training on new and efficient cropping technologies."
3109,3109,"Issues of irrigation facilities, human wildlife conflicts, marketing and storage will be addressed."
3110,3110,Efforts shall also be made to improve livestock productivity through introduction of improved breed of livestock AI programmes and supply of pure jerseys cows.
3111,3111,"Besides, programmes to increase productivity will include improved pasture management and feed and fodder development plans."
3112,3112,"Promoting Tourism - In close collaboration with the Tourism Council of Bhutan, local communities and businesses the Dzongkhag will facilitate development of tourism infrastructure such as hotels, community lodges, farm houses, etc, and new products unique to the Dzongkhag based on local handicrafts products, culture, history and eco-tourism trails."
3113,3113,"Facilitating Establishment of Cottage, Small and Medium Enterprises - The commissioning of Mangdechhu Hydroelectric Power project in 2017-18 provides an excellent opportunity for development of cottage, small, and medium enterprises and industries."
3114,3114,The Dzongkhag in collaboration with the central ministries will support and help in identifying potential enterprises and industries.
3115,3115,"In addition to investments in urban development, market sheds, processing plants, cold storages, produce collection centres shall be built in appropriate places at Gewog and Dzongkhag to support the growth of micro, small and farm enterprises."
3116,3116,"Under the targeted poverty reduction interventions, five villages namely Phumzur, Pangzur, Thangyel, Bayzam and Wangling will receive support through REAP Phase II."
3117,3117,"Income generating sustainable livelihood activities, capacity development and establishment of self-help groups/cooperatives will be some of the interventions at village level and additional support at households levels will be provided to the poorest households within the village."
3118,3118,The funds for this programme will be directly provided from the centre.
3119,3119,C as h cr op p ro du cti on i. O il se ed s p ro du cti on ( M T) ii.
3120,3120,V eg et ab le P ro du cti on (M T) iii .
3121,3121,O th er fr ui ts a nd N ut s Pr od uc tio n (M T) iv.
3122,3122,P ot at o pr od uc tio n (M T) v. Ci tr us p ro du cti on (M T) vi .
3123,3123,C er ea l c ro p pr od uc tio n i. Pa dd y pr od uc tio n (M T) ii.
3124,3124,Li ve st oc k pr od uc tio n i. M ilk p ro du cti on (M T) ii.
3125,3125,Eg g pr od uc tio n( M T) iii .P or k pr od uc tio n( M T) iv.
3126,3126,14 .9 % (2 01 2) 3. i.6 2 (2 01 1) ii.
3127,3127,82 7 (2 01 1) iii .1 68 (2 01 1) iv.
3128,3128,"1, 95 4 (2 01 1) v.1 79 (2 01 1) vi .n .a (2 01 1) 4. i.1 80 7 (2 01 1) ii."
3129,3129,95 .7 % (2 01 0) 7. i.1 04 4 (2 01 1) ii.
3130,3130,75 (2 01 1) iii .0 .1 5 (2 01 1) iv.
3131,3131,>1 14 4 iii .> 21 4 iv.
3132,3132,>2 34 5 v.> 19 0 vi .2 0 4. i.> 24 00 ii.
3133,3133,> 98 % 7. i> 12 42 ii.
3134,3134,C ap ac ity d ev el op m en t (t ra in in g an d aw ar en es s pr og ra m s) 2 .
3135,3135,De ve lo pm en t o f In fr as tr uc tu re /f ac ili tie s 367 Eleventh Five Year Plan - Main Document Volume I 6.2.18 Thimphu Dzongkhag Thimphu Dzongkhag is located in the western part of the country.
3136,3136,"It is bordered by the Dzongkhags of Gasa, Punakha and Wangduephodrang to the east, Chukha and Dagana to the south, Paro to the west."
3137,3137,"In the north, it borders the Tibet Autonomous Region of China."
3138,3138,"It is situated at an elevation ranging from 1,300 to 7,300 meters above sea level."
3139,3139,"Thimphu Dzongkhag has eight Gewogs namely Chang, Dagala, Geyni, Kawang, Lingzhi, Maedwang, Naro and Soe."
3140,3140,It is also supported by one Drungkhag of Lingzhi and Thimphu Thromde.
